Life	Don't talk, just act. Don't say, just show. Don't promise, just prove.
Life	Never stop doing great just because someone doesn't give you credit.
Life	It always seems impossible until it's done.
Life	Invest the now in tomorrow's dream.
Life	Good things come to those who hustle.
Life	If you want to succeed, you have to let failure be your best-friend!
Life	Be self-starter.
Life	If it doesn't challenge you, it doesn't change you.
Life	I didn't come here to lose.
Life	Hustle until your haters ask if you're hiring.
Life	You never cross the ocean unless you have the courage to lose sight of the shore.
Life	Some beautiful paths cant be discovered without getting lost.
Life	If you live for other people's acceptance you will die from their rejection.
Life	I've never met a strong person with an easy past.
Life	Don't let anyone tell you that you're not strong enough.
Life	The question isn't can you, it's will you?
Life	Work until your idols become your rivals.
Life	Keep smiling because life is a beautiful thing and there's so much to smile about.
Life	No one is you. That's your power!
Life	Life is like a balloon.If you never let go, you will not know how high can you rise.
Life	Sometimes life can surprise you with a happy coincidence.
Life	It is not how much we have, but how much we enjoy, that makes happiness.
Life	The most important thing is to enjoy your life - to be happy - it's all that matters.
Life	Life is not a problem to be solved, but a reality to be experienced.
Life	I love those who can smile in trouble, who can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but they whose heart is firm, and whose conscience approves their conduct, will pursue their principles unto death.
Life	It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things.
Life	Marry the right person. This one decision will determine 90% of your happiness or misery.
Life	Don't cry because it's over, smile because it happened.
Life	Life is like photography, we develop from negatives.
Life	You will never be truly happy if you continuously hold on to the things that make you sad.
Life	Change your thoughts and you'll change your world.
Life	Never be controlled by three things: Your past, Money, and People.
Life	But without the dark, we'd never see the stars.
Life	Take every chance you get in life because some things only happen once.
Life	All I have ever wanted to be is who I am becoming.
Life	Lives change like the weather. I hope you remember today is never too late to be brand new
Life	Life is not measured by the number of breaths you take, but the moments that take your breath away.
Friend	A friend will always make you Smile, specially when you don't want to,
Friend	This is to the Echos of our laughter. The looks That we Share. The never ending gossips. and the Sudden amazing get aways. This is to our Past And This is to Our Future. This is to our Friendship that will Never Fade.
Friend	I don't know what's tighter, our jeans or our friendship!
Friend	I would rather walk with a friend in the dark, than alone in the light.
Friend	Best Friends make good times better and hard times easier.
Friend	I don't know what I did to have a best friend like you.
Friend	Life was meant for Best Friends and Good Adventures.
Friend	She is my Best Friend. You break her heart, I will break your face.
Friend	Meet my Partner in Crime.
Friend	It's me and my Best Friend for Life.
Friend	Good Times + Crazy Friends = Great Memories.
Friend	Sometimes, being with your bff is all the therapy you need.
Sad	Stop looking for happiness in the same place you just lost it.
Sad	Disappointed but not surprised.
Sad	You can't just come into someone's life, make them special and then leave,
Sad	Trying to forget it but the memories are too strong
Sad	I act like I'm ok, but I'm really not.
Sad	Never cry for that person who doesn't know the value of your tears
Sad	Being single is smarter than being in the wrong relationship.
